Author,Review,Profession,Date,NumberOfStars
Сергей Макарь,Все сотрудники вежливые профессионально подходят к своей работе. СПАСИБО😁,Знаток города 5 уровня,22 июня 2019,5
vodxoz k.,"Кузовной отдел отвратительный. То специалистов нет, то ещё что у них случается. Дождаться звонка от них это просто беда, а внятного ответа просто невозможно. Продержали машину с двух часовым ремонтом по кузову почти сутки, ценник был за сутки. Да и что хотел починить не сделали. Замазали на скорую руку, отпалировали и выдали за качественный ремонт от BMW. Впечатление отвратительное. Не советую обращаться.",Знаток города 3 уровня,20 августа 2018,1
Никита В.,"Интересные презентации , хорошее обслуживание, хорошие акции и могут обслужить классику BMW.",Знаток города 10 уровня,8 марта 2019,5
Олег Г.,Наплевательское отношение к посетителю. При первом посещении в тест-драйве было отказано. При втором тоже. После моего возвращения оторвали сотрудника от кружкии чая и с недовольной физиономией организовали тест-драйв. Радует что не только в Бакре можно купить BMW. Больше ни ногой туда.,Знаток города 18 уровня,19 октября 2018,2
Юлия,"Обслуживание на низшем уровне. Машины сами себя продают, персонал вообще не заморачивается. Пока не позовешь менеджера, никто даже пальцем не пошевелит. Если нужно подождать, то на чай кофе можно не рассчитывать, пока не попросишь.",Знаток города 6 уровня,21 ноября 2018,2
soslan,Персонал не компетентный от слова вообще только порочат имя BMW,Знаток города 7 уровня,4 марта,1
В. К.,"ремонт авто 1 месяц минимум, может заказанная запчасти не подойти. ждали патрубки на двигатель. теперь ждём блок х.з. когда придёт из Германии.",Знаток города 7 уровня,5 мая 2019,1
Василиади В.,"Менеджеры знают свое дело. Спустя час общения с менеджером Артур Сагиян, я пересел с мерседеса на бмв и не жалею. Всем, кто хочет пересесьть на бмв к Артуру.",Знаток города 2 уровня,28 января 2019,5
Oxana B.,Огромный выбор автомобилей! Грамотный персонал. Рекомендую!,Знаток города 2 уровня,16 июля 2019,5
наталья П.,Оперативно и профессионально,Знаток города 3 уровня,10 февраля,5
Gorben873Alexander,Хорошие люди работают в отделе сервиса. Прекрасный электрик-диагност.Про продавцов ничего не скажу.,Знаток города 4 уровня,1 августа 2019,5
Максим Данко,"Что может быть плохого в салоне BMW, кроме цен🤣",Знаток города 14 уровня,14 февраля,5
константин ш.,Ждём птс посмотрим как обслужат быстро или нет,Знаток города 5 уровня,5 ноября 2019,5
